Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3701400,,Angier town,85,Harnett,"5,748","1,796.70",3.2, ,518,285,490,304,528,811,700,680,616,440,270,106,,"3,736",936,77,31,0,865,103, ,"4,197","1,551", ,"3,623",629,"1,054","1,010",646,236,35,13, ,"3,623",629,"2,064",930, ,"2,104",272,59,101,155,74,112,68,207,100,100,183,403,133,69,12,56, ,"$45,132 ", ,"$45,132 ","$70,282 ","$21,138 ", ,"$22,455 ", ,"2,104","1,305",799, ,"1,305",965,340, ,"1,305",9,0,62,524,583,99,28,0,0, ,"1,570",206,"1,364", ,"3,322",467,"2,855", ,799,128,671,,0.57495948,0.216059293,3.041300342,3.257359636
3701420,,Ansonville town,7,Anson,625,424.8,1.47, ,17,33,28,16,24,70,63,68,170,39,93,4,,68,557,0,0,0,0,0, ,618,7, ,507,118,271,92,26,0,0,0, ,507,118,363,26, ,253,18,14,18,40,13,10,7,9,7,30,14,50,0,5,2,16, ,"$43,958 ", ,"$43,958 ","$52,273 ","$30,125 ", ,"$21,972 ", ,253,202,51, ,202,28,174, ,202,9,59,70,49,15,0,0,0,0, ,94,32,62, ,395,67,328, ,136,31,105,46.0,0.702,0.0,1.802976025,1.802976025
3701520,,Apex town,183,Wake,"55,220","2,511.60",21.99, ,"3,762","4,288","5,255","2,995","3,489","6,720","9,810","9,185","5,331","2,838",916,631,,"43,162","4,051",154,"4,805",109,864,"2,075", ,"51,246","3,974", ,"35,431",860,"3,829","8,655","13,183","7,284",893,727, ,"35,431",860,"12,484","22,087", ,"19,228",338,210,277,588,283,330,422,412,241,858,"1,405","2,886","2,485","2,101","3,394","2,998", ,"$112,549 ", ,"$112,549 ","$132,959 ","$73,015 ", ,"$47,451 ", ,"19,228","14,395","4,833", ,"14,395","11,496","2,899", ,"14,395",67,22,28,109,"4,450","7,918","1,521",207,73, ,"16,279",659,"15,620", ,"34,525","1,101","33,424", ,"4,237",229,"4,008",88.0,0.1746477,0.316041487,4.463539534,4.779581021
3701560,,Aquadale CDP,167,Stanly,413,126.9,3.26, ,14,18,0,0,56,79,44,123,14,37,16,12,,413,0,0,0,0,0,0, ,413,0, ,325,12,136,126,26,25,0,0, ,325,12,262,51, ,171,0,0,0,0,0,0,24,0,0,14,28,47,16,0,42,0, ,"$91,681 ", ,"$91,681 ","$95,694 ",, ,"$38,896 ", ,171,142,29, ,142,142,0, ,142,0,0,88,28,26,0,0,0,0, ,32,0,32, ,316,0,316, ,65,0,65,,0.57377893,0.108820871,0.438015548,0.546836419
3701640,,Arapahoe town,137,Pamlico,397,182.8,2.17, ,15,19,5,2,44,39,50,73,51,44,42,13,,347,33,11,0,2,0,4, ,386,11, ,312,43,133,110,15,5,3,3, ,312,43,243,26, ,200,11,4,28,7,14,4,6,11,7,5,7,44,19,22,2,9, ,"$67,500 ", ,"$67,500 ","$80,625 ",, ,"$39,908 ", ,200,163,37, ,163,151,12, ,163,18,11,44,36,35,11,8,0,0, ,41,6,35, ,257,22,235, ,99,7,92,56.0,0.37069999,,,
3701720,,Archdale city,"81, 151","Guilford, Randolph","11,738","1,328.80",8.83, ,636,862,505,527,803,"1,242","1,254","1,589","1,938","1,257",842,283,,"9,600",887,50,609,0,211,381, ,"11,222",516, ,"8,405",920,"2,467","3,413",901,607,62,35, ,"8,405",920,"5,880","1,605", ,"4,704",103,216,213,269,172,195,266,262,163,615,495,692,431,311,150,151, ,"$56,658 ", ,"$56,658 ","$64,814 ","$38,699 ", ,"$28,730 ", ,"4,704","3,589","1,115", ,"3,589","3,118",471, ,"3,589",23,89,600,"1,298","1,533",41,0,5,0, ,"2,530",243,"2,287", ,"6,813",551,"6,262", ,"2,218",121,"2,097",,0.40844568,0.858668997,5.985639695,6.844308692
3701760,,Archer Lodge town,101,Johnston,"5,037",555.5,9.07, ,364,288,195,251,339,544,653,790,773,505,40,295,,"4,149",514,0,0,0,120,254, ,"4,549",488, ,"3,600",507,723,"1,442",709,219,0,0, ,"3,600",507,"2,165",928, ,"2,068",95,92,72,4,0,0,143,85,24,347,242,318,335,128,0,183, ,"$70,000 ", ,"$70,000 ","$72,250 ",, ,"$57,065 ", ,"2,068","1,574",494, ,"1,574","1,388",186, ,"1,574",70,0,57,240,"1,159",43,5,0,0, ,"1,098",522,576, ,"3,099",228,"2,871", ,840,92,748,,0.1645325,0.0,2.254289532,2.254289532
3701972,,Arrowhead Beach CDP,41,Chowan,799,"1,305.50",0.61, ,18,89,93,17,0,55,195,15,145,101,11,60,,500,0,17,0,0,273,9, ,486,313, ,582,225,232,108,0,17,0,0, ,582,225,340,17, ,293,0,0,0,20,0,54,35,0,0,41,130,0,13,0,0,0, ,"$59,028 ", ,"$59,028 ","$59,028 ",, ,"$18,748 ", ,293,293,0, ,293,166,127, ,293,0,14,69,52,149,9,0,0,0, ,217,0,217, ,410,11,399, ,172,0,172,,0.42280871,1.595336688,38.27655348,39.87189016
3702080,,Asheboro city,151,Randolph,"25,877","1,369.70",18.89, ,"1,711","1,889","1,985",955,"2,558","3,610","3,540","2,622","2,362","2,314","1,498",833,,"17,908","3,499",78,363,66,"2,999",964, ,"18,672","7,205", ,"16,779","3,603","4,760","5,396","2,197",636,84,103, ,"16,779","3,603","10,156","3,020", ,"10,741",926,777,896,794,733,905,712,717,644,830,836,965,466,217,205,118, ,"$37,171 ", ,"$37,171 ","$49,044 ","$28,282 ", ,"$20,830 ", ,"10,741","5,223","5,518", ,"5,223","3,917","1,306", ,"5,223",377,239,"1,291","1,744","1,230",318,5,0,19, ,"6,496","1,636","4,860", ,"14,434","2,853","11,581", ,"4,178",379,"3,799",78.0,0.76750261,0.394088002,3.883276901,4.277364903
3702140,,Asheville city,21,Buncombe,"92,328","2,030.50",45.47, ,"4,465","4,617","4,332","2,738","7,606","16,020","13,600","11,526","9,988","9,885","4,421","3,130",,"76,296","10,256",374,"1,405",265,982,"2,750", ,"86,112","6,216", ,"68,570","5,072","11,787","17,477","20,402","9,110","2,983","1,739", ,"68,570","5,072","29,264","34,234", ,"39,895","2,320","2,125","2,333","2,344","2,088","2,467","1,906","1,540","1,676","3,069","4,397","4,422","2,770","1,727","2,120","2,591", ,"$53,621 ", ,"$53,621 ","$72,294 ","$37,658 ", ,"$35,035 ", ,"39,895","19,581","20,314", ,"19,581","17,064","2,517", ,"19,581",166,100,704,"2,010","7,194","5,848","2,338",776,445, ,"15,530","2,766","12,764", ,"56,958","7,285","49,673", ,"16,440","1,763","14,677",92.0,0.39831295,1.286143014,7.283762611,8.569905625
3702240,,Ashley Heights CDP,93,Hoke,326,145.8,2.24, ,12,26,22,6,32,54,0,27,80,67,0,0,,153,73,65,0,0,14,21, ,313,13, ,228,39,82,78,29,0,0,0, ,228,39,160,29, ,111,28,8,0,11,6,13,0,0,0,18,8,12,0,0,7,0, ,"$30,481 ", ,"$30,481 ","$53,681 ",, ,"$15,659 ", ,111,73,38, ,73,59,14, ,73,0,0,37,7,22,7,0,0,0, ,66,53,13, ,193,76,117, ,67,7,60,52.0,0.05175059,0.0,2.000643227,2.000643227
