Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,SE:A00002. Population Density (Per Sq. Mile),Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:,Less than High School,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty,At or Above Poverty Level,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3710680,,Carthage town,125,Moore,"2,518", ,378.9,6.65, ,147,119,155,107,128,300,311,334,318,301,180,118,,"1,988",388,0,0,0,9,133, ,"2,442",76, ,"1,862",160,600,744,205,141,6,6, ,"1,862",160,"1,344",358, ,"1,022",81,73,77,74,51,115,31,25,23,80,104,57,131,74,13,13, ,"$41,731 ", ,"$41,731 ","$60,208 ","$20,395 ", ,"$25,086 ", ,"1,022",696,326, ,696,581,115, ,696,22,80,116,144,300,34,0,0,0, ,508,30,478, ,"1,378",169,"1,209", ,469,48,421,79,0.61189398,0.489095766,8.332569985,8.821665752
,,,,,, ,,, ,5.80%,4.70%,6.20%,4.30%,5.10%,11.90%,12.40%,13.30%,12.60%,12.00%,7.20%,4.70%,,79.00%,15.40%,0.00%,0.00%,0.00%,0.40%,5.30%, ,97.00%,3.00%, ,,8.60%,32.20%,40.00%,11.00%,7.60%,0.30%,0.30%, ,,8.60%,72.20%,19.20%, ,,7.90%,7.10%,7.50%,7.20%,5.00%,11.30%,3.00%,2.50%,2.30%,7.80%,10.20%,5.60%,12.80%,7.20%,1.30%,1.30%, ,, ,,,, ,, ,,68.10%,31.90%, ,,83.50%,16.50%, ,,3.20%,11.50%,16.70%,20.70%,43.10%,4.90%,0.00%,0.00%,0.00%, ,,5.90%,94.10%, ,,12.30%,87.70%, ,,10.20%,89.80%,,,,,
3710740,,Cary town,"183, 37","Wake, Chatham","169,177", ,"2,856.10",59.23, ,"9,320","12,481","13,645","7,816","10,237","19,495","27,072","26,856","21,067","13,389","5,779","2,020",,"111,153","12,843",671,"33,602",121,"3,803","6,984", ,"155,460","13,717", ,"115,678","4,223","10,169","21,969","43,875","25,924","3,970","5,548", ,"115,678","4,223","32,138","79,317", ,"63,519","1,556",851,830,"1,268","1,295","1,493","1,855","1,853","1,574","3,917","5,076","7,940","6,908","5,909","8,414","12,780", ,"$107,463 ", ,"$107,463 ","$135,742 ","$65,543 ", ,"$52,017 ", ,"63,519","42,805","20,714", ,"42,805","31,154","11,651", ,"42,805",320,189,373,"1,021","10,745","19,455","8,172","1,897",633, ,"43,014","2,540","40,474", ,"104,677","4,460","100,217", ,"20,992",963,"20,029",N/A,0.408,0.551047047,7.901370894,8.452417941
,,,,,, ,,, ,5.50%,7.40%,8.10%,4.60%,6.10%,11.50%,16.00%,15.90%,12.50%,7.90%,3.40%,1.20%,,65.70%,7.60%,0.40%,19.90%,0.10%,2.30%,4.10%, ,91.90%,8.10%, ,,3.70%,8.80%,19.00%,37.90%,22.40%,3.40%,4.80%, ,,3.70%,27.80%,68.60%, ,,2.50%,1.30%,1.30%,2.00%,2.00%,2.40%,2.90%,2.90%,2.50%,6.20%,8.00%,12.50%,10.90%,9.30%,13.30%,20.10%, ,, ,,,, ,, ,,67.40%,32.60%, ,,72.80%,27.20%, ,,0.80%,0.40%,0.90%,2.40%,25.10%,45.50%,19.10%,4.40%,1.50%, ,,5.90%,94.10%, ,,4.30%,95.70%, ,,4.60%,95.40%,,,,,
3710760,,Casar town,45,Cleveland,361, ,206.2,1.75, ,14,13,22,23,49,65,50,48,30,30,17,0,,359,0,0,0,0,2,0, ,353,8, ,240,36,85,88,19,12,0,0, ,240,36,173,31, ,110,15,9,15,2,3,6,0,4,4,8,4,16,8,11,2,3, ,"$48,125 ", ,"$48,125 ","$66,250 ",, ,"$24,148 ", ,110,78,32, ,78,75,3, ,78,8,12,39,8,8,3,0,0,0, ,72,34,38, ,242,68,174, ,47,9,38,55,0.5775,0,2.407332685,2.407332685
,,,,,, ,,, ,3.90%,3.60%,6.10%,6.40%,13.60%,18.00%,13.90%,13.30%,8.30%,8.30%,4.70%,0.00%,,99.50%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%, ,97.80%,2.20%, ,,15.00%,35.40%,36.70%,7.90%,5.00%,0.00%,0.00%, ,,15.00%,72.10%,12.90%, ,,13.60%,8.20%,13.60%,1.80%,2.70%,5.50%,0.00%,3.60%,3.60%,7.30%,3.60%,14.60%,7.30%,10.00%,1.80%,2.70%, ,, ,,,, ,, ,,70.90%,29.10%, ,,96.20%,3.90%, ,,10.30%,15.40%,50.00%,10.30%,10.30%,3.90%,0.00%,0.00%,0.00%, ,,47.20%,52.80%, ,,28.10%,71.90%, ,,19.20%,80.90%,,,,,
3710800,,Cashiers CDP,99,Jackson,728, ,177.6,4.1, ,28,50,0,0,50,118,63,0,224,92,76,27,,713,0,0,0,0,15,0, ,713,15, ,600,61,231,92,208,8,0,0, ,600,61,323,216, ,365,15,0,13,14,5,13,0,56,25,0,66,27,44,34,0,53, ,"$68,669 ", ,"$68,669 ","$93,981 ","$43,702 ", ,"$49,783 ", ,365,284,81, ,284,284,0, ,284,0,14,7,0,165,44,27,0,27, ,78,0,78, ,455,15,440, ,195,0,195,57,0.2392,0,0.031701205,0.031701205
,,,,,, ,,, ,3.90%,6.90%,0.00%,0.00%,6.90%,16.20%,8.70%,0.00%,30.80%,12.60%,10.40%,3.70%,,97.90%,0.00%,0.00%,0.00%,0.00%,2.10%,0.00%, ,97.90%,2.10%, ,,10.20%,38.50%,15.30%,34.70%,1.30%,0.00%,0.00%, ,,10.20%,53.80%,36.00%, ,,4.10%,0.00%,3.60%,3.80%,1.40%,3.60%,0.00%,15.30%,6.90%,0.00%,18.10%,7.40%,12.10%,9.30%,0.00%,14.50%, ,, ,,,, ,, ,,77.80%,22.20%, ,,100.00%,0.00%, ,,0.00%,4.90%,2.50%,0.00%,58.10%,15.50%,9.50%,0.00%,9.50%, ,,0.00%,100.00%, ,,3.30%,96.70%, ,,0.00%,100.00%,,,,,
3710860,,Castalia town,127,Nash,276, ,366.7,0.75, ,0,21,9,6,17,25,12,56,37,55,33,5,,112,160,0,0,0,4,0, ,272,4, ,223,35,104,55,18,8,0,3, ,223,35,159,29, ,121,2,15,13,7,18,8,6,2,13,15,2,11,0,5,2,2, ,"$32,292 ", ,"$32,292 ","$38,750 ","$26,477 ", ,"$22,311 ", ,121,104,17, ,104,46,58, ,104,41,13,30,6,13,0,1,0,0, ,36,32,4, ,147,20,127, ,93,10,83,55,0.64040002,N/A,N/A,N/A
,,,,,, ,,, ,0.00%,7.60%,3.30%,2.20%,6.20%,9.10%,4.40%,20.30%,13.40%,19.90%,12.00%,1.80%,,40.60%,58.00%,0.00%,0.00%,0.00%,1.50%,0.00%, ,98.60%,1.50%, ,,15.70%,46.60%,24.70%,8.10%,3.60%,0.00%,1.40%, ,,15.70%,71.30%,13.00%, ,,1.70%,12.40%,10.70%,5.80%,14.90%,6.60%,5.00%,1.70%,10.70%,12.40%,1.70%,9.10%,0.00%,4.10%,1.70%,1.70%, ,, ,,,, ,, ,,86.00%,14.10%, ,,44.20%,55.80%, ,,39.40%,12.50%,28.90%,5.80%,12.50%,0.00%,1.00%,0.00%,0.00%, ,,88.90%,11.10%, ,,13.60%,86.40%, ,,10.80%,89.30%,,,,,
3710880,,Castle Hayne CDP,129,New Hanover,993, ,208.4,4.76, ,0,22,70,27,20,49,86,161,157,222,161,18,,899,56,0,20,0,0,18, ,875,118, ,854,123,250,356,125,0,0,0, ,854,123,606,125, ,525,15,32,47,35,70,22,0,35,13,71,18,147,6,0,14,0, ,"$48,750 ", ,"$48,750 ","$57,830 ","$42,750 ", ,"$28,341 ", ,525,402,123, ,402,402,0, ,402,17,39,42,22,164,118,0,0,0, ,119,0,119, ,473,32,441, ,401,30,371,56,0.62113377,1.761504748,43.15829395,44.9197987
,,,,,, ,,, ,0.00%,2.20%,7.10%,2.70%,2.00%,4.90%,8.70%,16.20%,15.80%,22.40%,16.20%,1.80%,,90.50%,5.60%,0.00%,2.00%,0.00%,0.00%,1.80%, ,88.10%,11.90%, ,,14.40%,29.30%,41.70%,14.60%,0.00%,0.00%,0.00%, ,,14.40%,71.00%,14.60%, ,,2.90%,6.10%,9.00%,6.70%,13.30%,4.20%,0.00%,6.70%,2.50%,13.50%,3.40%,28.00%,1.10%,0.00%,2.70%,0.00%, ,, ,,,, ,, ,,76.60%,23.40%, ,,100.00%,0.00%, ,,4.20%,9.70%,10.50%,5.50%,40.80%,29.40%,0.00%,0.00%,0.00%, ,,0.00%,100.00%, ,,6.80%,93.20%, ,,7.50%,92.50%,,,,,
3710960,,Caswell Beach town,19,Brunswick,578, ,194.7,2.97, ,5,8,6,60,4,6,46,129,75,173,48,18,,552,0,0,21,0,3,2, ,569,9, ,495,1,49,172,119,69,69,16, ,495,1,221,273, ,235,6,2,2,17,0,5,14,2,0,3,26,11,33,41,24,49, ,"$122,813 ", ,"$122,813 ","$123,438 ",, ,"$60,988 ", ,235,233,2, ,233,226,7, ,233,0,2,2,0,41,128,30,16,14, ,79,3,76, ,260,2,258, ,239,2,237,66,0.23995819,4.966531408,92.53736885,97.50390026
,,,,,, ,,, ,0.90%,1.40%,1.00%,10.40%,0.70%,1.00%,8.00%,22.30%,13.00%,29.90%,8.30%,3.10%,,95.50%,0.00%,0.00%,3.60%,0.00%,0.50%,0.40%, ,98.40%,1.60%, ,,0.20%,9.90%,34.80%,24.00%,13.90%,13.90%,3.20%, ,,0.20%,44.70%,55.20%, ,,2.60%,0.90%,0.90%,7.20%,0.00%,2.10%,6.00%,0.90%,0.00%,1.30%,11.10%,4.70%,14.00%,17.50%,10.20%,20.90%, ,, ,,,, ,, ,,99.20%,0.90%, ,,97.00%,3.00%, ,,0.00%,0.90%,0.90%,0.00%,17.60%,54.90%,12.90%,6.90%,6.00%, ,,3.80%,96.20%, ,,0.80%,99.20%, ,,0.80%,99.20%,,,,,
3710980,,Catawba town,35,Catawba,588, ,132.6,4.43, ,20,22,19,13,50,114,32,81,130,70,26,11,,437,132,2,0,0,7,10, ,570,18, ,464,88,153,190,31,2,0,0, ,464,88,343,33, ,298,67,7,8,44,9,3,17,15,20,30,39,22,10,2,2,3, ,"$38,750 ", ,"$38,750 ","$46,250 ",, ,"$23,418 ", ,298,185,113, ,185,159,26, ,185,3,2,81,50,41,8,0,0,0, ,63,16,47, ,407,70,337, ,107,12,95,55,0.25105024,0.449781144,15.67549733,16.12527848
,,,,,, ,,, ,3.40%,3.70%,3.20%,2.20%,8.50%,19.40%,5.40%,13.80%,22.10%,11.90%,4.40%,1.90%,,74.30%,22.50%,0.30%,0.00%,0.00%,1.20%,1.70%, ,96.90%,3.10%, ,,19.00%,33.00%,41.00%,6.70%,0.40%,0.00%,0.00%, ,,19.00%,73.90%,7.10%, ,,22.50%,2.40%,2.70%,14.80%,3.00%,1.00%,5.70%,5.00%,6.70%,10.10%,13.10%,7.40%,3.40%,0.70%,0.70%,1.00%, ,, ,,,, ,, ,,62.10%,37.90%, ,,86.00%,14.10%, ,,1.60%,1.10%,43.80%,27.00%,22.20%,4.30%,0.00%,0.00%,0.00%, ,,25.40%,74.60%, ,,17.20%,82.80%, ,,11.20%,88.80%,,,,,
3711340,,Cedar Point town,31,Carteret,"2,176", ,978.4,2.22, ,99,202,151,157,131,78,298,348,289,290,119,14,,"1,890",56,3,27,0,25,175, ,"2,078",98, ,"1,436",59,247,490,319,179,74,68, ,"1,436",59,737,640, ,827,31,14,13,56,13,25,28,18,19,59,89,157,80,44,99,82, ,"$79,875 ", ,"$79,875 ","$83,808 ","$56,964 ", ,"$43,932 ", ,827,723,104, ,723,651,72, ,723,21,9,24,29,212,303,91,26,8, ,609,17,592, ,"1,144",71,"1,073", ,423,19,404,75,0.24354908,6.699213754,30.92875901,37.62797276
,,,,,, ,,, ,4.60%,9.30%,6.90%,7.20%,6.00%,3.60%,13.70%,16.00%,13.30%,13.30%,5.50%,0.60%,,86.90%,2.60%,0.10%,1.20%,0.00%,1.20%,8.00%, ,95.50%,4.50%, ,,4.10%,17.20%,34.10%,22.20%,12.50%,5.20%,4.70%, ,,4.10%,51.30%,44.60%, ,,3.80%,1.70%,1.60%,6.80%,1.60%,3.00%,3.40%,2.20%,2.30%,7.10%,10.80%,19.00%,9.70%,5.30%,12.00%,9.90%, ,, ,,,, ,, ,,87.40%,12.60%, ,,90.00%,10.00%, ,,2.90%,1.20%,3.30%,4.00%,29.30%,41.90%,12.60%,3.60%,1.10%, ,,2.80%,97.20%, ,,6.20%,93.80%, ,,4.50%,95.50%,,,,,
3711352,,Cedar Rock village,27,Caldwell,284, ,249,1.14, ,9,5,31,4,5,37,16,44,35,37,44,17,,273,0,0,0,0,0,11, ,274,10, ,230,14,49,68,78,15,3,3, ,230,14,117,99, ,139,0,5,0,0,2,3,6,5,6,42,7,6,20,9,21,7, ,"$70,417 ", ,"$70,417 ","$70,417 ",, ,"$48,549 ", ,139,137,2, ,137,130,7, ,137,0,0,0,0,66,61,4,6,0, ,49,2,47, ,137,3,134, ,98,0,98,64,0.31281824,0.212194047,8.369342719,8.581536767
,,,,,, ,,, ,3.20%,1.80%,10.90%,1.40%,1.80%,13.00%,5.60%,15.50%,12.30%,13.00%,15.50%,6.00%,,96.10%,0.00%,0.00%,0.00%,0.00%,0.00%,3.90%, ,96.50%,3.50%, ,,6.10%,21.30%,29.60%,33.90%,6.50%,1.30%,1.30%, ,,6.10%,50.90%,43.00%, ,,0.00%,3.60%,0.00%,0.00%,1.40%,2.20%,4.30%,3.60%,4.30%,30.20%,5.00%,4.30%,14.40%,6.50%,15.10%,5.00%, ,, ,,,, ,, ,,98.60%,1.40%, ,,94.90%,5.10%, ,,0.00%,0.00%,0.00%,0.00%,48.20%,44.50%,2.90%,4.40%,0.00%, ,,4.10%,95.90%, ,,2.20%,97.80%, ,,0.00%,100.00%,,,,,
3711560,,Centerville CDP,69,Franklin,302, ,185.5,1.63, ,7,33,11,23,22,69,40,26,40,29,2,0,,302,0,0,0,0,0,0, ,302,0, ,206,45,11,115,11,24,0,0, ,206,45,126,35, ,96,0,0,3,0,0,0,0,0,2,8,1,49,28,4,1,0, ,"$92,656 ", ,"$92,656 ","$85,900 ","$100,357 ", ,"$27,909 ", ,96,48,48, ,48,48,0, ,48,0,2,13,1,32,0,0,0,0, ,74,0,74, ,197,7,190, ,31,1,30,65,0.4752,0,0.615144207,0.615144207
,,,,,, ,,, ,2.30%,10.90%,3.60%,7.60%,7.30%,22.90%,13.30%,8.60%,13.30%,9.60%,0.70%,0.00%,,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, ,100.00%,0.00%, ,,21.80%,5.30%,55.80%,5.30%,11.70%,0.00%,0.00%, ,,21.80%,61.20%,17.00%, ,,0.00%,0.00%,3.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,8.30%,1.00%,51.00%,29.20%,4.20%,1.00%,0.00%, ,, ,,,, ,, ,,50.00%,50.00%, ,,100.00%,0.00%, ,,0.00%,4.20%,27.10%,2.10%,66.70%,0.00%,0.00%,0.00%,0.00%, ,,0.00%,100.00%, ,,3.60%,96.50%, ,,3.20%,96.80%,,,,,
3711620,,Cerro Gordo town,47,Columbus,322, ,407.7,0.79, ,3,8,9,12,37,22,26,75,23,18,8,81,,273,17,0,0,0,32,0, ,290,32, ,253,39,117,65,19,13,0,0, ,253,39,182,32, ,167,85,4,4,13,6,1,10,4,5,2,5,20,1,3,0,4, ,, ,,,"$23,942 ", ,"$18,067 ", ,167,148,19, ,148,140,8, ,148,3,14,24,1,106,0,0,0,0, ,32,5,27, ,183,11,172, ,107,82,25,48,0.67789999,0,7.284546413,7.284546413
,,,,,, ,,, ,0.90%,2.50%,2.80%,3.70%,11.50%,6.80%,8.10%,23.30%,7.10%,5.60%,2.50%,25.20%,,84.80%,5.30%,0.00%,0.00%,0.00%,9.90%,0.00%, ,90.10%,9.90%, ,,15.40%,46.30%,25.70%,7.50%,5.10%,0.00%,0.00%, ,,15.40%,71.90%,12.70%, ,,50.90%,2.40%,2.40%,7.80%,3.60%,0.60%,6.00%,2.40%,3.00%,1.20%,3.00%,12.00%,0.60%,1.80%,0.00%,2.40%, ,, ,,,, ,, ,,88.60%,11.40%, ,,94.60%,5.40%, ,,2.00%,9.50%,16.20%,0.70%,71.60%,0.00%,0.00%,0.00%,0.00%, ,,15.60%,84.40%, ,,6.00%,94.00%, ,,76.60%,23.40%,,,,,
3711640,,Chadbourn town,47,Columbus,"2,038", ,783.4,2.6, ,177,104,163,53,196,291,233,226,382,132,62,19,,533,"1,365",120,0,0,0,20, ,"2,030",8, ,"1,345",276,536,429,87,17,0,0, ,"1,345",276,965,104, ,764,211,102,40,33,25,0,47,22,30,78,75,44,19,0,27,11, ,"$23,750 ", ,"$23,750 ","$46,406 ","$10,868 ", ,"$15,509 ", ,764,369,395, ,369,182,187, ,369,81,72,135,56,18,7,0,0,0, ,479,271,208, ,"1,328",672,656, ,213,89,124,54,0.81086286,0,1.727405018,1.727405018
,,,,,, ,,, ,8.70%,5.10%,8.00%,2.60%,9.60%,14.30%,11.40%,11.10%,18.70%,6.50%,3.00%,0.90%,,26.20%,67.00%,5.90%,0.00%,0.00%,0.00%,1.00%, ,99.60%,0.40%, ,,20.50%,39.90%,31.90%,6.50%,1.30%,0.00%,0.00%, ,,20.50%,71.80%,7.70%, ,,27.60%,13.40%,5.20%,4.30%,3.30%,0.00%,6.20%,2.90%,3.90%,10.20%,9.80%,5.80%,2.50%,0.00%,3.50%,1.40%, ,, ,,,, ,, ,,48.30%,51.70%, ,,49.30%,50.70%, ,,22.00%,19.50%,36.60%,15.20%,4.90%,1.90%,0.00%,0.00%,0.00%, ,,56.60%,43.40%, ,,50.60%,49.40%, ,,41.80%,58.20%,,,,,
3711800,,Chapel Hill town,"135, 63, 37","Orange, Durham, Chatham","61,912", ,"2,869.00",21.58, ,"2,364","2,878","3,364","1,999","20,136","7,297","5,940","6,243","4,910","3,789","1,998",994,,"44,128","6,341",79,"8,373",0,710,"2,281", ,"57,484","4,428", ,"31,171","1,119","2,209","3,885","8,744","7,491","3,359","4,364", ,"31,171","1,119","6,094","23,958", ,"19,856","2,193",538,530,834,571,791,563,826,688,"1,174","1,191","1,719","1,477","1,194","1,457","4,110", ,"$75,249 ", ,"$75,249 ","$145,658 ","$39,101 ", ,"$41,893 ", ,"19,856","10,292","9,564", ,"10,292","8,023","2,269", ,"10,292",91,28,178,320,"2,002","3,641","2,508",929,595, ,"10,519",765,"9,754", ,"33,536","8,426","25,110", ,"6,670",196,"6,474",N/A,0.3997,1.000910784,9.380531198,10.38144198
,,,,,, ,,, ,3.80%,4.70%,5.40%,3.20%,32.50%,11.80%,9.60%,10.10%,7.90%,6.10%,3.20%,1.60%,,71.30%,10.20%,0.10%,13.50%,0.00%,1.20%,3.70%, ,92.90%,7.20%, ,,3.60%,7.10%,12.50%,28.10%,24.00%,10.80%,14.00%, ,,3.60%,19.60%,76.90%, ,,11.00%,2.70%,2.70%,4.20%,2.90%,4.00%,2.80%,4.20%,3.50%,5.90%,6.00%,8.70%,7.40%,6.00%,7.30%,20.70%, ,, ,,,, ,, ,,51.80%,48.20%, ,,78.00%,22.10%, ,,0.90%,0.30%,1.70%,3.10%,19.50%,35.40%,24.40%,9.00%,5.80%, ,,7.30%,92.70%, ,,25.10%,74.90%, ,,2.90%,97.10%,,,,,
3712000,,Charlotte city,119,Mecklenburg,"873,570", ,"2,833.60",308.29, ,"58,918","56,624","56,281","32,565","82,299","159,567","129,349","112,992","94,216","56,165","24,004","10,590",,"407,684","309,837","3,468","57,889",349,"58,164","36,179", ,"746,265","127,305", ,"586,883","62,042","98,608","163,444","171,566","68,365","16,246","6,612", ,"586,883","62,042","262,052","262,789", ,"338,985","16,173","11,650","11,812","12,715","13,865","16,902","15,431","16,143","13,134","28,467","33,903","43,066","30,997","19,679","22,236","32,812", ,"$65,359 ", ,"$65,359 ","$87,234 ","$49,023 ", ,"$39,834 ", ,"338,985","179,054","159,931", ,"179,054","102,643","76,411", ,"179,054","2,388","1,594","12,628","25,722","71,187","37,736","14,767","6,588","6,444", ,"200,673","36,185","164,488", ,"569,328","58,906","510,422", ,"89,182","7,530","81,652",9,0.6174,0.020582308,6.134234536,6.154816844
,,,,,, ,,, ,6.70%,6.50%,6.40%,3.70%,9.40%,18.30%,14.80%,12.90%,10.80%,6.40%,2.80%,1.20%,,46.70%,35.50%,0.40%,6.60%,0.00%,6.70%,4.10%, ,85.40%,14.60%, ,,10.60%,16.80%,27.90%,29.20%,11.70%,2.80%,1.10%, ,,10.60%,44.70%,44.80%, ,,4.80%,3.40%,3.50%,3.80%,4.10%,5.00%,4.60%,4.80%,3.90%,8.40%,10.00%,12.70%,9.10%,5.80%,6.60%,9.70%, ,, ,,,, ,, ,,52.80%,47.20%, ,,57.30%,42.70%, ,,1.30%,0.90%,7.10%,14.40%,39.80%,21.10%,8.30%,3.70%,3.60%, ,,18.00%,82.00%, ,,10.40%,89.70%, ,,8.40%,91.60%,,,,,
3712140,,Cherokee CDP,"173, 99","Swain, Jackson","2,120", ,175.6,12.07, ,77,37,108,91,222,227,256,233,353,300,216,0,,281,32,"1,740",45,0,0,22, ,"2,098",22, ,"1,585",145,751,412,178,99,0,0, ,"1,585",145,"1,163",277, ,946,85,101,20,88,26,39,25,100,13,136,62,78,127,0,26,20, ,"$43,382 ", ,"$43,382 ","$55,573 ","$21,906 ", ,"$23,690 ", ,946,703,243, ,703,40,663, ,703,19,30,79,252,323,0,0,0,0, ,284,36,248, ,"1,291",163,"1,128", ,516,105,411,N/A,0.48533377,1.392845489,6.437934428,7.830779917
,,,,,, ,,, ,3.60%,1.80%,5.10%,4.30%,10.50%,10.70%,12.10%,11.00%,16.70%,14.20%,10.20%,0.00%,,13.30%,1.50%,82.10%,2.10%,0.00%,0.00%,1.00%, ,99.00%,1.00%, ,,9.20%,47.40%,26.00%,11.20%,6.30%,0.00%,0.00%, ,,9.20%,73.40%,17.50%, ,,9.00%,10.70%,2.10%,9.30%,2.80%,4.10%,2.60%,10.60%,1.40%,14.40%,6.60%,8.30%,13.40%,0.00%,2.80%,2.10%, ,, ,,,, ,, ,,74.30%,25.70%, ,,5.70%,94.30%, ,,2.70%,4.30%,11.20%,35.90%,46.00%,0.00%,0.00%,0.00%,0.00%, ,,12.70%,87.30%, ,,12.60%,87.40%, ,,20.40%,79.70%,,,,,
3712186,,Cherry Branch CDP,49,Craven,"1,397", ,"1,216.80",1.15, ,118,123,134,63,217,148,168,146,200,69,11,0,,"1,192",162,0,0,0,3,40, ,"1,327",70, ,742,44,250,280,76,70,8,14, ,742,44,530,168, ,488,19,0,44,0,0,4,7,0,48,44,74,120,77,15,25,11, ,"$78,750 ", ,"$78,750 ","$84,963 ","$59,358 ", ,"$27,370 ", ,488,353,135, ,353,317,36, ,353,19,11,7,0,267,26,15,8,0, ,438,41,397, ,879,91,788, ,80,0,80,N/A,0.20484729,1.460606085,40.36132769,41.82193378
,,,,,, ,,, ,8.50%,8.80%,9.60%,4.50%,15.50%,10.60%,12.00%,10.50%,14.30%,4.90%,0.80%,0.00%,,85.30%,11.60%,0.00%,0.00%,0.00%,0.20%,2.90%, ,95.00%,5.00%, ,,5.90%,33.70%,37.70%,10.20%,9.40%,1.10%,1.90%, ,,5.90%,71.40%,22.60%, ,,3.90%,0.00%,9.00%,0.00%,0.00%,0.80%,1.40%,0.00%,9.80%,9.00%,15.20%,24.60%,15.80%,3.10%,5.10%,2.30%, ,, ,,,, ,, ,,72.30%,27.70%, ,,89.80%,10.20%, ,,5.40%,3.10%,2.00%,0.00%,75.60%,7.40%,4.30%,2.30%,0.00%, ,,9.40%,90.60%, ,,10.40%,89.70%, ,,0.00%,100.00%,,,,,
3712340,,Cherryville city,71,Gaston,"6,018", ,"1,090.10",5.52, ,293,162,602,431,401,711,901,721,552,648,365,231,,"5,501",310,0,8,2,18,179, ,"5,757",261, ,"4,129",468,"1,499","1,303",659,195,5,0, ,"4,129",468,"2,802",859, ,"2,394",234,54,173,142,85,166,128,103,128,192,273,408,87,109,101,11, ,"$49,420 ", ,"$49,420 ","$56,042 ","$31,688 ", ,"$24,798 ", ,"2,394","1,595",799, ,"1,595","1,481",114, ,"1,595",22,100,382,391,662,33,5,0,0, ,"1,481",281,"1,200", ,"3,264",382,"2,882", ,"1,099",118,981,69,0.43833419,0.031698376,1.559928815,1.591627191
,,,,,, ,,, ,4.90%,2.70%,10.00%,7.20%,6.70%,11.80%,15.00%,12.00%,9.20%,10.80%,6.10%,3.80%,,91.40%,5.20%,0.00%,0.10%,0.00%,0.30%,3.00%, ,95.70%,4.30%, ,,11.30%,36.30%,31.60%,16.00%,4.70%,0.10%,0.00%, ,,11.30%,67.90%,20.80%, ,,9.80%,2.30%,7.20%,5.90%,3.60%,6.90%,5.40%,4.30%,5.40%,8.00%,11.40%,17.00%,3.60%,4.60%,4.20%,0.50%, ,, ,,,, ,, ,,66.60%,33.40%, ,,92.90%,7.20%, ,,1.40%,6.30%,24.00%,24.50%,41.50%,2.10%,0.30%,0.00%,0.00%, ,,19.00%,81.00%, ,,11.70%,88.30%, ,,10.70%,89.30%,,,,,
