Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,SE:A00002. Population Density (Per Sq. Mile),Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:,Less than High School,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty,At or Above Poverty Level,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3700880,,Alexis CDP,71,Gaston,818, ,414.1,1.98, ,28,56,11,0,76,74,89,66,30,136,212,40,,661,129,0,10,0,0,18, ,806,12, ,647,52,223,359,9,0,0,4, ,647,52,582,13, ,358,0,28,9,16,4,119,6,12,23,21,58,30,0,32,0,0, ,"$36,250 ", ,"$36,250 ","$34,811 ",, ,"$23,289 ", ,358,310,48, ,310,274,36, ,310,0,4,44,64,150,48,0,0,0, ,95,0,95, ,335,48,287, ,388,20,368,N/A,0.34714273,N/A,N/A,N/A
,,,,,, ,,, ,3.40%,6.90%,1.30%,0.00%,9.30%,9.10%,10.90%,8.10%,3.70%,16.60%,25.90%,4.90%,,80.80%,15.80%,0.00%,1.20%,0.00%,0.00%,2.20%, ,98.50%,1.50%, ,,8.00%,34.50%,55.50%,1.40%,0.00%,0.00%,0.60%, ,,8.00%,90.00%,2.00%, ,,0.00%,7.80%,2.50%,4.50%,1.10%,33.20%,1.70%,3.40%,6.40%,5.90%,16.20%,8.40%,0.00%,8.90%,0.00%,0.00%, ,, ,,,, ,, ,,86.60%,13.40%, ,,88.40%,11.60%, ,,0.00%,1.30%,14.20%,20.70%,48.40%,15.50%,0.00%,0.00%,0.00%, ,,0.00%,100.00%, ,,14.30%,85.70%, ,,5.20%,94.90%,,,,,
3701000,,Alliance town,137,Pamlico,"1,104", ,529.2,2.09, ,84,25,17,69,116,75,29,102,129,232,119,107,,864,204,0,0,0,4,32, ,"1,034",70, ,793,172,307,265,39,10,0,0, ,793,172,572,49, ,440,54,84,21,11,47,6,18,13,14,78,37,19,10,19,7,2, ,"$32,500 ", ,"$32,500 ","$48,625 ","$11,797 ", ,"$19,872 ", ,440,321,119, ,321,266,55, ,321,18,40,106,51,100,6,0,0,0, ,195,20,175, ,451,100,351, ,400,87,313,56,0.91346351,9.793071741,19.26597137,29.05904311
,,,,,, ,,, ,7.60%,2.30%,1.50%,6.30%,10.50%,6.80%,2.60%,9.20%,11.70%,21.00%,10.80%,9.70%,,78.30%,18.50%,0.00%,0.00%,0.00%,0.40%,2.90%, ,93.70%,6.30%, ,,21.70%,38.70%,33.40%,4.90%,1.30%,0.00%,0.00%, ,,21.70%,72.10%,6.20%, ,,12.30%,19.10%,4.80%,2.50%,10.70%,1.40%,4.10%,3.00%,3.20%,17.70%,8.40%,4.30%,2.30%,4.30%,1.60%,0.50%, ,, ,,,, ,, ,,73.00%,27.10%, ,,82.90%,17.10%, ,,5.60%,12.50%,33.00%,15.90%,31.20%,1.90%,0.00%,0.00%,0.00%, ,,10.30%,89.70%, ,,22.20%,77.80%, ,,21.80%,78.30%,,,,,
3701140,,Altamahaw CDP,1,Alamance,369, ,271.9,1.36, ,8,7,61,12,16,70,0,52,103,29,0,11,,369,0,0,0,0,0,0, ,369,0, ,265,33,129,81,0,22,0,0, ,265,33,210,22, ,167,0,0,0,0,38,38,0,0,0,17,0,51,10,0,13,0, ,, ,,,, ,"$30,404 ", ,167,161,6, ,161,161,0, ,161,0,29,60,59,0,13,0,0,0, ,88,0,88, ,241,0,241, ,40,0,40,N/A,0.4111345,0.758090796,11.57926262,12.33735341
,,,,,, ,,, ,2.20%,1.90%,16.50%,3.30%,4.30%,19.00%,0.00%,14.10%,27.90%,7.90%,0.00%,3.00%,,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, ,100.00%,0.00%, ,,12.50%,48.70%,30.60%,0.00%,8.30%,0.00%,0.00%, ,,12.50%,79.30%,8.30%, ,,0.00%,0.00%,0.00%,0.00%,22.80%,22.80%,0.00%,0.00%,0.00%,10.20%,0.00%,30.50%,6.00%,0.00%,7.80%,0.00%, ,, ,,,, ,, ,,96.40%,3.60%, ,,100.00%,0.00%, ,,0.00%,18.00%,37.30%,36.70%,0.00%,8.10%,0.00%,0.00%,0.00%, ,,0.00%,100.00%, ,,0.00%,100.00%, ,,0.00%,100.00%,,,,,
3701340,,Anderson Creek CDP,85,Harnett,"14,899", ,764.1,19.5, ,"1,661","1,593","1,335",527,"1,019","2,680","2,101","1,808","1,195",595,337,48,,"8,776","3,890",214,226,89,570,"1,134", ,"12,126","2,773", ,"8,764",696,"1,871","3,674","1,490",846,114,73, ,"8,764",696,"5,545","2,523", ,"4,471",297,88,131,240,210,114,190,210,120,408,476,755,429,326,244,233, ,"$68,033 ", ,"$68,033 ","$74,596 ","$55,707 ", ,"$25,323 ", ,"4,471","2,913","1,558", ,"2,913","1,701","1,212", ,"2,913",162,129,331,283,"1,596",387,24,1,0, ,"5,063","1,153","3,910", ,"8,803","1,045","7,758", ,980,102,878,N/A,0.46072597,0.202254336,3.387935094,3.590189431
,,,,,, ,,, ,11.20%,10.70%,9.00%,3.50%,6.80%,18.00%,14.10%,12.10%,8.00%,4.00%,2.30%,0.30%,,58.90%,26.10%,1.40%,1.50%,0.60%,3.80%,7.60%, ,81.40%,18.60%, ,,7.90%,21.40%,41.90%,17.00%,9.70%,1.30%,0.80%, ,,7.90%,63.30%,28.80%, ,,6.60%,2.00%,2.90%,5.40%,4.70%,2.60%,4.30%,4.70%,2.70%,9.10%,10.70%,16.90%,9.60%,7.30%,5.50%,5.20%, ,, ,,,, ,, ,,65.20%,34.90%, ,,58.40%,41.60%, ,,5.60%,4.40%,11.40%,9.70%,54.80%,13.30%,0.80%,0.00%,0.00%, ,,22.80%,77.20%, ,,11.90%,88.10%, ,,10.40%,89.60%,,,,,
3701380,,Andrews town,39,Cherokee,"1,915", ,"1,112.60",1.72, ,76,106,218,97,217,74,208,303,140,264,152,60,,"1,745",94,60,0,0,14,2, ,"1,741",174, ,"1,201",254,436,403,68,33,0,7, ,"1,201",254,839,108, ,789,85,59,96,76,92,31,0,12,59,131,15,72,16,20,8,17, ,"$29,612 ", ,"$29,612 ","$29,478 ","$33,182 ", ,"$18,938 ", ,789,477,312, ,477,424,53, ,477,83,19,179,104,83,9,0,0,0, ,473,275,198, ,934,223,711, ,421,79,342,46,0.8127151,5.790987995,14.96417156,20.75515955
,,,,,, ,,, ,4.00%,5.50%,11.40%,5.10%,11.30%,3.90%,10.90%,15.80%,7.30%,13.80%,7.90%,3.10%,,91.10%,4.90%,3.10%,0.00%,0.00%,0.70%,0.10%, ,90.90%,9.10%, ,,21.20%,36.30%,33.60%,5.70%,2.80%,0.00%,0.60%, ,,21.20%,69.90%,9.00%, ,,10.80%,7.50%,12.20%,9.60%,11.70%,3.90%,0.00%,1.50%,7.50%,16.60%,1.90%,9.10%,2.00%,2.50%,1.00%,2.20%, ,, ,,,, ,, ,,60.50%,39.50%, ,,88.90%,11.10%, ,,17.40%,4.00%,37.50%,21.80%,17.40%,1.90%,0.00%,0.00%,0.00%, ,,58.10%,41.90%, ,,23.90%,76.10%, ,,18.80%,81.20%,,,,,
