Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3737260.00,,Lawndale town,45,Cleveland
3737640.00,,Leggett town,65,Edgecombe
3737680.00,,Leland town,19,Brunswick
3737760.00,,Lenoir city,27,Caldwell
3738030.00,,Lewiston Woodville town,15,Bertie
3738040.00,,Lewisville town,67,Forsyth
3738060.00,,Lexington city,57,Davidson
3738100.00,,Liberty town,151,Randolph
3738170.00,,Light Oak CDP,45,Cleveland
3738200.00,,Lilesville town,7,Anson
3738220.00,,Lillington town,85,Harnett
3738320.00,,Lincolnton city,109,Lincoln
3738360.00,,Linden town,51,Cumberland
3738420.00,,Linville CDP,11,Avery
3738680.00,,Littleton town,83,Halifax
3738860.00,,Locust city,"167, 25","Stanly, Cabarrus"
3739060.00,,Long Creek CDP,141,Pender
3739280.00,,Long View town,"23, 35","Burke, Catawba "
3739360.00,,Louisburg town,69,Franklin
3739420.00,,Love Valley town,97,Iredell
3739480.00,,Lowell city,71,Gaston
3739520.00,,Lowesville CDP,109,Lincoln
3739540.00,,Lowgap CDP,171,Surry
3739600.00,,Lucama town,195,Wilson
3739680.00,,Lumber Bridge town,155,Robeson
3739700.00,,Lumberton city,155,Robeson
3739880.00,,McAdenville town,71,Gaston
3739960.00,,Macclesfield town,65,Edgecombe
3740140.00,,McDonald town,155,Robeson
3740240.00,,McFarlan town,7,Anson
3740460.00,,McLeansville CDP,81,Guilford
3740540.00,,Macon town,185,Warren
3740560.00,,Madison town,157,Rockingham
3740600.00,,Maggie Valley town,87,Haywood
3740640.00,,Magnolia town,61,Duplin
3740660.00,,Maiden town,35,Catawba
3740860.00,,Mamers CDP,85,Harnett
3740980.00,,Manns Harbor CDP,55,Dare
3741060.00,,Manteo town,55,Dare
3741220.00,,Marble CDP,39,Cherokee
3741380.00,,Marietta town,155,Robeson
3741420.00,,Marion city,111,McDowell
3741540.00,,Mar-Mac CDP,191,Wayne
3741580.00,,Marshall town,115,Madison
3741600.00,,Marshallberg CDP,31,Carteret
3741620.00,,Mars Hill town,115,Madison
3741640.00,,Marshville town,179,Union
3741720.00,,Marvin village,179,Union
3741960.00,,Matthews town,119,Mecklenburg
3742000.00,,Maury CDP,79,Greene
3742020.00,,Maxton town,155,Robeson
3742060.00,,Mayodan town,157,Rockingham
3742100.00,,Maysville town,103,Jones
3742240.00,,Mebane city,135,Orange
3742480.00,,Mesic town,137,Pamlico
3742620.00,,Micro town,101,Johnston
3742640.00,,Middleburg town,181,Vance
3742700.00,,Middlesex town,127,Nash
3742760.00,,Midland town,25,Cabarrus
3742860.00,,Midway town,57,Davidson
3743160.00,,Millers Creek CDP,193,Wilkes
3743200.00,,Millingport CDP,167,Stanly
3743260.00,,Mills River town,89,Henderson
3743300.00,,Milton town,33,Caswell
3743320.00,,Milwaukee CDP,131,Northampton
3743360.00,,Mineral Springs town,179,Union
3743440.00,,Minnesott Beach town,137,Pamlico
3743480.00,,Mint Hill town,"119, 179","Mecklenburg, Union"
3743580.00,,Misenheimer village,167,Stanly
3743720.00,,Mocksville town,59,Davie
3743860.00,,Momeyer town,127,Nash
3743880.00,,Moncure CDP,37,Chatham
3743920.00,,Monroe city,179,Union
3744100.00,,Montreat town,21,Buncombe
3744160.00,,Mooresboro town,45,Cleveland
3744220.00,,Mooresville town,97,Iredell
3744280.00,,Moravian Falls CDP,193,Wilkes
3744320.00,,Morehead City town,31,Carteret
3744400.00,,Morganton city,23,Burke
3744520.00,,Morrisville town,183,Wake
3744560.00,,Morven town,7,Anson
3744700.00,,Mountain Home CDP,89,Henderson
3744770.00,,Mountain View CDP,35,Catawba
3744800.00,,Mount Airy city,171,Surry
3744900.00,,Mount Gilead town,123,Montgomery
3744960.00,,Mount Holly city,71,Gaston
3745100.00,,Mount Olive town,191,Wayne
3745140.00,,Mount Pleasant town,25,Cabarrus
3745460.00,,Moyock CDP,53,Currituck
3745560.00,,Mulberry CDP,193,Wilkes
3745640.00,,Murfreesboro town,91,Hertford
3745660.00,,Murphy town,39,Cherokee
3745720.00,,Murraysville CDP,129,New Hanover
3745840.00,,Myrtle Grove CDP,129,New Hanover
3745880.00,,Nags Head town,55,Dare
3746000.00,,Nashville town,127,Nash
3746060.00,,Navassa town,19,Brunswick
3746100.00,,Nebo CDP,111,McDowell
3746280.00,,Neuse Forest CDP,49,Craven
3746340.00,,New Bern city,49,Craven
3746650.00,,New Hope CDP,191,Wayne
3746740.00,,Newland town,11,Avery
3746820.00,,New London town,167,Stanly
3746860.00,,Newport town,31,Carteret
3747000.00,,Newton city,35,Catawba
3747020.00,,Newton Grove town,163,Sampson
3747240.00,,Norlina town,185,Warren
3747260.00,,Norman town,153,Richmond
3747485.00,,Northchase CDP,129,New Hanover
3747695.00,,Northlakes CDP,27,Caldwell
3747845.00,,North Topsail Beach town,141,Pender
3747860.00,,Northwest city,19,Brunswick
3747880.00,,North Wilkesboro town,193,Wilkes
3747980.00,,Norwood town,167,Stanly
3748040.00,,Oakboro town,167,Stanly
3748060.00,,Oak City town,117,Martin
3748345.00,,Oak Island town,19,Brunswick
3748480.00,,Oak Ridge town,81,Guilford
3748700.00,,Ocean Isle Beach town,19,Brunswick
3748740.00,,Ocracoke CDP,95,Hyde
3748790.00,,Ogden CDP,129,New Hanover
3748920.00,,Old Fort town,111,McDowell
3748940.00,,Old Hundred CDP,165,Scotland
3749380.00,,Oriental town,137,Pamlico
3749460.00,,Orrum town,155,Robeson
3749600.00,,Ossipee town,1,Alamance
3749800.00,,Oxford city,77,Granville
3750080.00,,Pantego town,13,Beaufort 
3750340.00,,Parkton town,155,Robeson 
3750540.00,,Parmele town,117,Martin 
3750700.00,,Patterson Springs town,45,Cleveland 
3750820.00,,Peachland town,7,Anson 
3751040.00,,Peletier town,31,Carteret 
3751080.00,,Pembroke town,155,Robeson 
3751780.00,,Pikeville town,191,Wayne 
3751820.00,,Pilot Mountain town,171,Surry 
3751840.00,,Pinebluff town,125,Moore 
3751940.00,,Pinehurst village,125,Moore 
3752000.00,,Pine Knoll Shores town,31,Carteret 
3752020.00,,Pine Level town,101,Johnston 
3752140.00,,Pinetops town,65,Edgecombe 
3752160.00,,Pinetown CDP,13,Beaufort 
3752220.00,,Pineville town,119,Mecklenburg 
3752260.00,,Piney Green CDP,133,Onslow 
3752400.00,,Pink Hill town,107,Lenoir 
3752500.00,,Pinnacle CDP,169,Stokes 
3752660.00,,Pittsboro town,37,Chatham 
3752685.00,,Plain View CDP,163,Sampson 
3752760.00,,Pleasant Garden town,81,Guilford 
3752920.00,,Pleasant Hill CDP,193,Wilkes 
3753040.00,,Plymouth town,187,Washington 
3753140.00,,Polkton town,7,Anson 
3753160.00,,Polkville city,45,Cleveland 
3753200.00,,Pollocksville town,103,Jones 
3753475.00,,Porters Neck CDP,129,New Hanover 
3753580.00,,Potters Hill CDP,61,Duplin 
3753680.00,,Powellsville town,15,Bertie 
3753820.00,,Princeton town,101,Johnston 
3753840.00,,Princeville town,65,Edgecombe 
3753900.00,,Proctorville town,155,Robeson 
3753950.00,,Prospect CDP,155,Robeson 
3754160.00,,Pumpkin Center CDP,133,Onslow 
3754580.00,,Raeford city,93,Hoke 
3754600.00,,Raemon CDP,155,Robeson 
3755000.00,,Raleigh city,183,Wake 
3755040.00,,Ramseur town,151,Randolph 
3755080.00,,Randleman city,151,Randolph 
3755260.00,,Ranlo town,71,Gaston 
3755340.00,,Raynham town,155,Robeson 
3755460.00,,Red Cross town,167,Stanly 
3755640.00,,Red Oak town,127,Nash 
3755660.00,,Red Springs town,155,Robeson 
3755900.00,,Reidsville city,157,Rockingham 
3755940.00,,Rennert town,155,Robeson 
3756100.00,,Rex CDP,155,Robeson 
3756240.00,,Rhodhiss town,"27, 23","Caldwell, Burke "
3756340.00,,Richfield town,167,Stanly 
3756360.00,,Richlands town,133,Onslow 
3756440.00,,Rich Square town,131,Northampton
3756600.00,,Riegelwood CDP,47,Columbus 
3756710.00,,River Bend town,49,Craven
3756815.00,,River Road CDP,13,Beaufort 
3756900.00,,Roanoke Rapids city,83,Halifax 
3757000.00,,Robbins town,125,Moore 
3757020.00,,Robbinsville town,75,Graham 
3757039.00,,Roberdel CDP,153,Richmond 
3757100.00,,Robersonville town,117,Martin 
3757200.00,,Rockfish CDP,93,Hoke 
3757260.00,,Rockingham city,153,Richmond 
3757340.00,,Rockwell town,159,Rowan 
3757500.00,,Rocky Mount city,"127, 65","Nash, Edgecombe "
3757540.00,,Rocky Point CDP,141,Pender 
3757580.00,,Rodanthe CDP,55,Dare 
3757640.00,,Rolesville town,183,Wake 
3757700.00,,Ronda town,193,Wilkes 
3757740.00,,Roper town,187,Washington 
3757800.00,,Roseboro town,163,Sampson 
3757860.00,,Rose Hill town,61,Duplin 
3758020.00,,Rosman town,175,Transylvania
3758040.00,,Rougemont CDP,"63, 145","Durham, Person "
3758140.00,,Rowland town,155,Robeson 
3758160.00,,Roxboro city,145,Person 
3758180.00,,Roxobel town,15,Bertie 
3758260.00,,Royal Pines CDP,21,Buncombe 
3758340.00,,Ruffin CDP,157,Rockingham 
3758360.00,,Rural Hall town,67,Forsyth 
3758420.00,,Ruth town,161,Rutherford 
3758440.00,,Rutherford College town,23,Burke 
3758460.00,,Rutherfordton town,161,Rutherford 
3758620.00,,St. Helena village,141,Pender 
3758630.00,,St. James town,19,Brunswick 
3758720.00,,St. Pauls town,155,Robeson 
3758730.00,,St. Stephens CDP,35,Catawba 
3758740.00,,Salem CDP,23,Burke 
3758840.00,,Salemburg town,163,Sampson 
3758860.00,,Salisbury city,159,Rowan 
3758920.00,,Saluda city,"149, 89","Polk, Henderson "
3758940.00,,Salvo CDP,55,Dare 
3759090.00,,Sandy Creek town,19,Brunswick 
3759135.00,,Sandyfield town,47,Columbus 
3759280.00,,Sanford city,105,Lee 
3759340.00,,Saratoga town,195,Wilson 
3759540.00,,Sawmills town,27,Caldwell 
3759580.00,,Saxapahaw CDP,1,Alamance 
